0.,0.,0.
1.,0.,0.
0.,0.,1.
1.,0.,1.
0.,0.,2.
1.,0.,2.
0.,0.,3.
1.,0.,3.
0.,0.,4.
1.,0.,4.
0.,0.,5.
1.,0.,5.
0.,0.,6.
1.,0.,6.
0.,0.,7.
1.,0.,7.
0.,0.,8.
1.,0.,8.
1.,0.,9.
2.,0.,4.
2.,0.,5.
2.,0.,6.
2.,0.,7.
2.,0.,8.
2.,0.,9.
2.,0.,10.
3.,0.,10.
4.,0.,11.
3.,0.,4.
3.,0.,5.
3.,0.,6.
3.,0.,7.
4.,0.,5.
4.,0.,6.
5.,0.,5.
5.,0.,6.
6.,0.,5.
6.,0.,6.
7.,0.,5.
7.,0.,6.
8.,0.,5.
8.,0.,6.
9.,0.,5.
9.,0.,6.
10.,0.,5.
10.,0.,6.
11.,0.,5.
11.,0.,6.
12.,0.,5.
12.,0.,6.
13.,0.,5.
13.,0.,6.
14.,0.,5.
14.,0.,6.
15.,0.,5.
15.,0.,6.
16.,0.,5.
16.,0.,6.
17.,0.,5.
17.,0.,6.
18.,0.,5.
18.,0.,6.
19.,0.,5.
19.,0.,6.
20.,0.,5.
20.,0.,6.
21.,0.,5.
21.,0.,6.
22.,0.,5.
22.,0.,6.
23.,0.,5.
23.,0.,6.
24.,0.,5.
24.,0.,6.
25.,0.,5.
25.,0.,6.
26.,0.,5.
26.,0.,6.
27.,0.,5.
27.,0.,6.
28.,0.,5.
28.,0.,6.
29.,0.,5.
29.,0.,6.
30.,0.,5.
30.,0.,6.
31.,0.,5.
31.,0.,6.
